Bill # + LINK ,Title ,Sponsors ,Description ,Status 
HB 457,Carbon Emissions Tax,"Rep. Joel K. Briscoe, D ",Imposes a tax on various carbon based fuels that would escalate for several years. Creates an expendable revenue fund. Allocates tax proceeds. ,Didn't pass 
HCR 5,Concurrent Resolution on Clean Fuel School Buses,"Rep. Stephen G. Handy, R 
Sen. J. Stuart Adams, R",Urges Utah to use money from the Volkswagen settlement to begin replacing dirty diesel school buses with clean fuel school buses. ,Passed
HCR 8,Volkswagen Settlement,"Rep. Timothy D. Hawkes, R
Sen. Brian E. Shiozawa, R",Highlights provisions of Volkswagon settlement and Utah's participation as a beneficiary.,Passed
HCR 18,Encouraging Utahns to Consider the Smog Rating When Purchasing a Vehicle,"Rep. Patrice M. Arent, D
Sen. Brian E. Shiozawa, R 
+ 46 co-sponsors",Encourages Utahns to purchase a vehicle with a smog rating of eight or higher because vehicles with high smog ratings produce less pollution. ,Passed
HJR 18,Resolution on Economic and Environmental Stewardship,"Rep. Rebecca P. Edwards, R","Expresses commitment to conservative environmental stewardship. Acknowledges Utah's existing commitment to reduce combustion emissions and improve air quality. Recognizes that climate disruption poses a potential threat to our national security. Recognizes that good stewardship of the economy and environment fosters security, sustainability, and independence. ",Didn't pass 
SB 24,Natural Gas Heavy Duty Tax Credit Amendments,"Rep. Jon E. Stanard, R
Sen. Daniel Hemmert, R ",Clarifies that the corporate tax credit for natural gas heavy-duty vehicles is nonrefundable. Transfers decision-making for the tax credit from the Air Quality Board to the Director of the Division of Air Quality.,Passed
SB 90 ,Vehicle Inspection And Registration Amendments,"Rep. Cory A. Maloy, R  
Sen. Jacob L. Anderegg, R  ","""Fix it ticket"" When a driver is stopped for expired inspection of less than 2 months, the driver will receive no fine if fixed within 2 weeks.",Passed 
SB 154,Solar Access Amendments,"Rep. Francis D. Gibson, R
Sen. Lincoln Filmore, R ","Building upon a bill that failed in 2016, restricts community associations from placing unreasonable restrictions on solar panels. ",Passed
SB 197,Refinery Sales and Use Tax Exemption Amendments,"Rep. Brad R. Wilson, R
Sen. J. Stuart Adams, R",Requires a refiner that seeks to be eligible for the sales and use tax exemption to report certain information annually to the Office of Energy Development. The Office of Energy Development must annually certify that the refiner is meeting certain fuel standards in order to be eligible for the sales and use tax exemption. Grants the Office of Energy Development rulemaking authority to administer the certification requirements.,Passed
SB 217,Environmental Impact Mitigation Regarding New Prison Project,"Sen. Luz Escamilla, D","Stipulates that the Division of Air Quality will report on air quality monitoring for the new prison, he Department of Administrative Services webpage will provide information and the Prison Development Commission will inform the commission concerning environmental impact mitigation efforts in connection with the new correctional facilities construction project. Requests $5,000 over two years. ",Didn't pass 
SB 273,Energy Development Amendments,"Rep. Francis D. Gibson, R
Sen. J. Stuart Adams, R ",Commercial Property Assessed Clean Energy Act or C-PACE Act. C-PACE is a mechanism for financing clean energy and energy efficiency improvements on commercial buildings. This bill makes the process more attractive to eligible building owners.,Passed
